threshold,tar,far,genuine_above,impostor_above,total_genuine,total_impostor,youden_j
1.0,1.0,0.0,200,0,200,10300,1.0
0.9906060606060605,1.0,0.0,200,0,200,10300,1.0
0.9812121212121212,1.0,0.0,200,0,200,10300,1.0
0.9718181818181819,1.0,0.0,200,0,200,10300,1.0
0.9624242424242424,1.0,0.0,200,0,200,10300,1.0
0.9530303030303031,1.0,0.0,200,0,200,10300,1.0
0.9436363636363636,1.0,0.0,200,0,200,10300,1.0
0.9342424242424243,1.0,0.0,200,0,200,10300,1.0
0.9248484848484848,1.0,0.0,200,0,200,10300,1.0
0.9154545454545455,1.0,0.0,200,0,200,10300,1.0
0.906060606060606,1.0,0.0,200,0,200,10300,1.0
0.8966666666666667,1.0,0.0,200,0,200,10300,1.0
0.8872727272727272,1.0,0.0,200,0,200,10300,1.0
0.8778787878787879,1.0,0.0,200,0,200,10300,1.0
0.8684848484848484,1.0,0.0,200,0,200,10300,1.0
0.8590909090909091,1.0,0.0,200,0,200,10300,1.0
0.8496969696969696,1.0,0.0,200,0,200,10300,1.0
0.8403030303030303,1.0,0.0,200,0,200,10300,1.0
0.8309090909090908,1.0,0.0,200,0,200,10300,1.0
0.8215151515151515,1.0,0.0,200,0,200,10300,1.0
0.812121212121212,1.0,0.0,200,0,200,10300,1.0
0.81,1.0,0.0001941747572815534,200,2,200,10300,0.9998058252427184
0.8027272727272727,1.0,0.0001941747572815534,200,2,200,10300,0.9998058252427184
0.7933333333333332,1.0,0.0001941747572815534,200,2,200,10300,0.9998058252427184
0.79,1.0,0.0003883495145631068,200,4,200,10300,0.9996116504854369
0.7839393939393939,1.0,0.0003883495145631068,200,4,200,10300,0.9996116504854369
0.78,1.0,0.0013592233009708738,200,14,200,10300,0.9986407766990292
0.7745454545454544,1.0,0.0013592233009708738,200,14,200,10300,0.9986407766990292
0.77,1.0,0.002330097087378641,200,24,200,10300,0.9976699029126214
0.7651515151515151,1.0,0.002330097087378641,200,24,200,10300,0.9976699029126214
0.76,1.0,0.003883495145631068,200,40,200,10300,0.996116504854369
0.7557575757575759,1.0,0.003883495145631068,200,40,200,10300,0.996116504854369
0.75,1.0,0.006407766990291262,200,66,200,10300,0.9935922330097088
0.7463636363636363,1.0,0.006407766990291262,200,66,200,10300,0.9935922330097088
0.74,1.0,0.010097087378640776,200,104,200,10300,0.9899029126213592
0.736969696969697,1.0,0.010097087378640776,200,104,200,10300,0.9899029126213592
0.73,1.0,0.013398058252427184,200,138,200,10300,0.9866019417475728
0.7275757575757575,1.0,0.013398058252427184,200,138,200,10300,0.9866019417475728
0.72,1.0,0.018058252427184465,200,186,200,10300,0.9819417475728155
0.7181818181818183,1.0,0.018058252427184465,200,186,200,10300,0.9819417475728155
0.71,1.0,0.02446601941747573,200,252,200,10300,0.9755339805825243
0.7087878787878787,1.0,0.02446601941747573,200,252,200,10300,0.9755339805825243
0.7,1.0,0.029902912621359225,200,308,200,10300,0.9700970873786408
0.6993939393939395,1.0,0.029902912621359225,200,308,200,10300,0.9700970873786408
0.69,1.0,0.03864077669902913,200,398,200,10300,0.9613592233009709
0.6806060606060607,1.0,0.03864077669902913,200,398,200,10300,0.9613592233009709
0.68,1.0,0.05378640776699029,200,554,200,10300,0.9462135922330097
0.6712121212121211,1.0,0.05378640776699029,200,554,200,10300,0.9462135922330097
0.67,1.0,0.06873786407766991,200,708,200,10300,0.9312621359223301
0.6618181818181819,1.0,0.06873786407766991,200,708,200,10300,0.9312621359223301
0.66,1.0,0.08912621359223301,200,918,200,10300,0.910873786407767
0.6524242424242424,1.0,0.08912621359223301,200,918,200,10300,0.910873786407767
