iteration,train_emotion,test_emotion,match_score,similarity,timestamp,result
21,neutral,anger,0.34,0.11,20/09/2025 18:59,success
21,neutral,disgust,0.28,0.07,20/09/2025 18:59,fail
21,neutral,neutral,0.33,1,20/09/2025 18:59,success
21,neutral,sleepiness,0.32,0.07,20/09/2025 18:59,fail
22,neutral,amused,0.31,0.07,20/09/2025 18:59,fail
22,neutral,anger,0.34,0.11,20/09/2025 18:59,success
22,neutral,disgust,0.28,0.07,20/09/2025 18:59,fail
22,neutral,neutral,0.33,1,20/09/2025 18:59,success
22,neutral,sleepiness,0.32,0.07,20/09/2025 18:59,fail
23,neutral,amused,0.31,0.07,20/09/2025 19:00,fail
23,neutral,anger,0.34,0.11,20/09/2025 19:00,success
23,neutral,disgust,0.28,0.07,20/09/2025 19:00,fail
23,neutral,neutral,0.33,1,20/09/2025 19:00,success
23,neutral,sleepiness,0.32,0.07,20/09/2025 19:00,fail
24,neutral,amused,0.31,0.07,20/09/2025 19:01,fail
24,neutral,anger,0.34,0.11,20/09/2025 19:01,success
24,neutral,disgust,0.28,0.07,20/09/2025 19:01,fail
24,neutral,neutral,0.33,1,20/09/2025 19:01,success
24,neutral,sleepiness,0.32,0.07,20/09/2025 19:01,fail
25,neutral,amused,0.31,0.07,20/09/2025 19:02,fail
25,neutral,anger,0.34,0.11,20/09/2025 19:02,success
25,neutral,disgust,0.28,0.07,20/09/2025 19:02,fail
25,neutral,neutral,0.33,1,20/09/2025 19:02,success
25,neutral,sleepiness,0.32,0.07,20/09/2025 19:02,fail
26,neutral,amused,0.31,0.07,20/09/2025 19:02,fail
26,neutral,anger,0.34,0.11,20/09/2025 19:02,success
26,neutral,disgust,0.28,0.07,20/09/2025 19:02,fail
26,neutral,neutral,0.33,1,20/09/2025 19:02,success
26,neutral,sleepiness,0.32,0.07,20/09/2025 19:02,fail
27,neutral,amused,0.31,0.07,20/09/2025 19:03,fail
27,neutral,anger,0.34,0.11,20/09/2025 19:03,success
27,neutral,disgust,0.28,0.07,20/09/2025 19:03,fail
27,neutral,neutral,0.33,1,20/09/2025 19:03,success
27,neutral,sleepiness,0.32,0.07,20/09/2025 19:03,fail
28,neutral,amused,0.31,0.07,20/09/2025 19:03,fail
28,neutral,anger,0.34,0.11,20/09/2025 19:03,success
28,neutral,disgust,0.28,0.07,20/09/2025 19:03,fail
28,neutral,neutral,0.33,1,20/09/2025 19:03,success
28,neutral,sleepiness,0.32,0.07,20/09/2025 19:03,fail
29,neutral,amused,0.31,0.07,20/09/2025 19:04,fail
29,neutral,anger,0.34,0.11,20/09/2025 19:04,success
29,neutral,disgust,0.28,0.07,20/09/2025 19:04,fail
29,neutral,neutral,0.33,1,20/09/2025 19:04,success
29,neutral,sleepiness,0.32,0.07,20/09/2025 19:04,fail
30,neutral,amused,0.31,0.07,20/09/2025 19:05,fail
30,neutral,anger,0.34,0.11,20/09/2025 19:05,success
30,neutral,disgust,0.28,0.07,20/09/2025 19:05,fail
30,neutral,neutral,0.33,1,20/09/2025 19:05,success
30,neutral,sleepiness,0.32,0.07,20/09/2025 19:05,fail
31,neutral,amused,0.31,0.07,20/09/2025 19:05,fail
31,neutral,anger,0.34,0.11,20/09/2025 19:05,success
31,neutral,disgust,0.28,0.07,20/09/2025 19:05,fail
31,neutral,neutral,0.33,1,20/09/2025 19:05,fail
31,neutral,sleepiness,0.32,0.07,20/09/2025 19:05,fail
32,neutral,amused,0.31,0.07,20/09/2025 19:06,fail
32,neutral,anger,0.34,0.11,20/09/2025 19:06,success
32,neutral,disgust,0.28,0.07,20/09/2025 19:06,fail
32,neutral,neutral,0.33,1,20/09/2025 19:06,success
32,neutral,sleepiness,0.32,0.07,20/09/2025 19:06,fail
33,neutral,amused,0.31,0.07,20/09/2025 19:06,fail
33,neutral,anger,0.34,0.11,20/09/2025 19:06,success
33,neutral,disgust,0.28,0.07,20/09/2025 19:06,fail
33,neutral,neutral,0.33,1,20/09/2025 19:06,success
33,neutral,sleepiness,0.32,0.07,20/09/2025 19:06,fail
34,neutral,amused,0.31,0.07,20/09/2025 19:07,fail
34,neutral,anger,0.34,0.11,20/09/2025 19:07,success
34,neutral,disgust,0.28,0.07,20/09/2025 19:07,fail
34,neutral,neutral,0.33,1,20/09/2025 19:07,success
34,neutral,sleepiness,0.32,0.07,20/09/2025 19:07,fail
35,neutral,amused,0.31,0.07,20/09/2025 19:07,fail
35,neutral,anger,0.34,0.11,20/09/2025 19:07,success
